,UNDERWRITING_YEAR,TYPE_OF_COVER,PAYMENT_METHOD,SUM_INSURED,COMPANY_LOADINGS,COMMISION_RATE,LOADINGS,NO_CLAIM_DISCOUNT,SPECIAL_DISCOUNT,TRANSACTION_TYPE,AGENT_CONTRACT_CATEGORY,CLIENT_GENDER,CLIENT_MARITAL_STATUS,CLIENT_OCCUPATION,CLIENT_POLITICAL_PERSON_FLAG,HIGH_RISK_FLAG,CLIENT_NUMBER_OF_DEPENDENTS,CLIENT_SMOKER_FLAG,CLIENT_FAMILY_SIZE,ORIGINAL_UNDERWRITING_YEAR,POLICY_TERM,INSURED_TYPE,RENEWAL_TYPE,CO_INSURANCE,BODILY_INJURY_LIMIT,VEHICLE_MAKE,VEHICLE_YEAR,ADDITIONAL_PERILS,FOREIGN_USED,CUBIC_CENTIMETERS,VEHICLE_MODIFIED,SEATING_CAPACITY,ANTI_THEFT_DEVICE,LEFT_HAND_DRIVE,OPEN_RESTRICTED_FLAG,PA_COVERAGE,PA_DRIVER_INCLUDED,MOTOR_ASSIST,VEHICLE_CONDITION,PREMIUM_CHARGED,HAS_CLAIMED_IN_NEXT_12_MONTHS,CLIENT_CLASS,FLAG_VEHICLE_CONDITION,VEHICLE_AGE,FLAG_POLICY_TYPE_OF_COVER_CHANGE_IN_LAST_12_MONTHS,FLAG_VEHICLE_TYPE_ON_SEATING_CAPACITY,POLICY_HISTORY_AGE
40649,2018,Comp,Cash,125382.0,0.3,0.0,0.12,0.17,0.23,Renewal,Direct,M,L,Chef,N,N,1,Y,4,2018,12,Corporate,Renewal,Y,179000,Volkswagen,1995,No Additional Perils,N,1221,Y,4,Y,N,O,N,Y,Y,New,14744.2210608,0,YOUNG,OLD,23,0,COMPACT,0
40650,2019,Comp,Cash,119112.9,0.35,0.0,0.12,0.17,0.23,Renewal,Direct,M,L,Chef,N,N,1,Y,4,2018,12,Corporate,Renewal,Y,179000,Volkswagen,1995,No Additional Perils,N,1221,Y,4,Y,N,O,N,Y,Y,New,15084.4723160492,1,YOUNG,OLD,24,0,COMPACT,1
40652,2018,TP,Cash,179791.0,0.3,0.1,0.12,0.19,0.41,Renewal,Cash Salesmen,M,D,Doctor,N,N,5,N,5,2018,12,Individual,Renewal,Y,168000,Nissan,2000,Special Perils,N,1399,Y,5,Y,N,O,Y,N,Y,New,3003.837276744,0,EXPERIENCED,OLD,18,0,COMPACT,0
40653,2019,TP,Cash,170801.45,0.35,0.1,0.12,0.19,0.41,Renewal,Cash Salesmen,M,D,Doctor,N,N,5,N,5,2018,12,Individual,Renewal,Y,168000,Nissan,2000,Special Perils,N,1399,Y,5,Y,N,O,Y,N,Y,New,3094.25378340185,1,EXPERIENCED,OLD,19,0,COMPACT,1
40658,2019,TP,Credit Card,71822.0,0.3,0.1,0.09,0.28,0.31,Renewal,Cash Salesmen,F,M,Sales Person,N,N,3,N,5,2019,12,Individual,Renewal,Y,162000,Chevrolet,1997,Fire Expl Thft/Brand Expl Dief,N,1927,Y,6,Y,N,O,N,N,N,New,1222.793682192,0,EXPERIENCED,OLD,22,0,SUV,0
40661,2019,F&T,Credit Card,97284.0,0.3,0.15,0.08,0.28,0.27,Renewal,Broker,M,D,Education Professional,N,N,3,N,5,2019,12,Individual,Renewal,Y,75000,Volvo,2012,Special Perils,N,1586,Y,4,Y,N,O,N,Y,N,Second Hand,4536.18058834286,0,EXPERIENCED,NEW,7,0,COMPACT,0
40667,2018,Comp,Cash,74190.0,0.3,0.15,0.09,0.26,0.37,Renewal,Broker,F,M,Business executive,N,N,3,Y,5,2018,12,Corporate,Renewal,Y,127000,Audi,2001,Riot & Special Perils,N,1570,Y,4,Y,N,O,N,N,Y,Second Hand,7122.65286735,0,EXPERIENCED,OLD,17,0,COMPACT,0
40668,2019,Comp,Cash,70480.5,0.35,0.15,0.09,0.26,0.37,Renewal,Broker,F,M,Business executive,N,N,3,Y,5,2018,12,Corporate,Renewal,Y,127000,Audi,2001,Riot & Special Perils,N,1570,Y,4,Y,N,O,N,N,Y,Second Hand,7287.02177967346,1,EXPERIENCED,OLD,18,0,COMPACT,1
40670,2018,F&T,Cash,91953.0,0.3,0.0,0.08,0.23,0.31,Renewal,Assumed Business,M,D,Chef,N,N,2,N,4,2018,12,Individual,No renewal - Report,Y,215000,Toyota,2001,Fire Expl Thft/Brand Expl Dief,N,1367,Y,3,Y,N,O,N,Y,Y,Second Hand,3768.785658,0,SENIORCITIZEN,OLD,17,0,COMPACT,0
40671,2019,F&T,Cash,87355.35,0.35,0.0,0.08,0.23,0.31,Renewal,Assumed Business,M,D,Chef,N,N,2,N,4,2018,12,Individual,No renewal - Report,Y,215000,Toyota,2001,Fire Expl Thft/Brand Expl Dief,N,1367,Y,3,Y,N,O,N,Y,Y,Second Hand,3855.75763472308,1,SENIORCITIZEN,OLD,18,0,COMPACT,1
40673,2018,Comp,Cash,104337.0,0.3,0.1,0.07,0.25,0.25,Renewal,Cash Salesmen,M,L,Secretary,N,N,3,Y,3,2018,12,Individual,Manual Review Required,Y,111000,Hyundai,2013,No Additional Perils,N,1283,Y,5,Y,N,O,N,N,N,Second Hand,11348.4653316964,0,YOUNG,NEW,5,0,COMPACT,0
40674,2019,Comp,Cash,99120.15,0.35,0.1,0.07,0.25,0.25,Renewal,Cash Salesmen,M,L,Secretary,N,N,3,Y,3,2018,12,Individual,Manual Review Required,Y,111000,Hyundai,2013,No Additional Perils,N,1283,Y,5,Y,N,O,N,N,N,Second Hand,11610.3529931971,1,YOUNG,NEW,6,0,COMPACT,1
40676,2019,F&T,Credit Card,122124.0,0.3,0.15,0.09,0.31,0.32,Renewal,Broker,F,D,Software Professional,N,Y,2,Y,4,2019,12,Individual,Renewal,Y,167000,Chevrolet,1997,Fire Expl Thft/Brand Expl Dief,N,1491,Y,3,Y,N,O,Y,Y,Y,Second Hand,5130.44843091429,0,EXPERIENCED,OLD,22,0,COMPACT,0
40682,2018,Comp,Cash,136653.0,0.3,0.15,0.09,0.24,0.27,Renewal,Broker,M,L,Business executive,N,N,2,N,3,2018,12,Individual,No Renewal - Don't Report,Y,141000,Suzuki,2004,Special Perils,N,1703,Y,2,Y,N,R,N,N,Y,New,15612.7627913871,0,EXPERIENCED,OLD,14,0,MICRO,0
40683,2019,Comp,Cash,129820.35,0.35,0.15,0.09,0.24,0.27,Renewal,Broker,M,L,Business executive,N,N,2,N,3,2018,12,Individual,No Renewal - Don't Report,Y,141000,Suzuki,2004,Special Perils,N,1703,Y,2,Y,N,R,N,N,Y,New,15973.0573173422,1,EXPERIENCED,OLD,15,0,MICRO,1
40685,2019,Comp,Credit Card,110741.0,0.3,0.15,0.12,0.33,0.2,Renewal,Broker,F,S,Software Professional,N,N,1,Y,3,2019,12,Individual,Renewal,Y,156000,Mitsubishi,1999,No Additional Perils,N,1949,Y,6,N,N,O,Y,Y,N,New,12559.9784416,0,EXPERIENCED,OLD,20,0,SUV,0
40688,2017,Comp,Credit Card,76228.0,0.3,0.15,0.1,0.27,0.32,Renewal,Broker,M,S,Clerical assistant,N,N,2,Y,5,2017,12,Individual,Renewal,Y,88000,Chevrolet,1992,Fire Expl Thft/Brand Expl Dief,N,1279,Y,4,Y,Y,R,N,N,Y,New,7863.87540588572,0,EXPERIENCED,OLD,26,0,COMPACT,0
40689,2019,Comp,Credit Card,72416.6,0.35,0.15,0.1,0.27,0.32,Renewal,Broker,M,S,Clerical assistant,N,N,2,Y,5,2017,12,Individual,Renewal,Y,88000,Chevrolet,1992,Fire Expl Thft/Brand Expl Dief,N,1279,Y,4,Y,Y,R,N,N,Y,New,8045.34945371384,1,EXPERIENCED,OLD,27,0,COMPACT,1
40691,2019,TP,Online payment,117326.0,0.3,0.15,0.09,0.16,0.28,Renewal,Broker,M,L,Software Professional,N,N,3,N,5,2019,12,Individual,Renewal,Y,114000,Volvo,2004,Special Perils,N,1838,Y,5,Y,Y,R,Y,N,Y,New,2513.359449216,0,EXPERIENCED,OLD,15,0,COMPACT,0
40694,2018,TP,Credit Card,53096.0,0.3,0.0,0.07,0.3,0.28,Renewal,Direct,F,M,Driver for Uber,N,N,5,N,2,2018,12,Individual,Renewal,Y,47000,GMC,1995,Riot & Srike,N,1666,Y,3,Y,Y,O,N,Y,Y,New,843.21969984,0,EXPERIENCED,OLD,23,0,COMPACT,0
40695,2019,TP,Credit Card,50441.2,0.35,0.0,0.07,0.3,0.28,Renewal,Direct,F,M,Driver for Uber,N,N,5,N,2,2018,12,Individual,Renewal,Y,47000,GMC,1995,Riot & Srike,N,1666,Y,3,Y,Y,O,N,Y,Y,New,836.982471876923,1,EXPERIENCED,OLD,24,0,COMPACT,1
40700,2019,Comp,Credit Card,102424.0,0.3,0.15,0.1,0.11,0.28,Renewal,Broker,F,D,Govt. Officer,N,N,2,N,4,2019,12,Individual,Manual Review Required,Y,148000,Chevrolet,2006,Special Perils,N,1734,Y,2,N,N,O,N,N,Y,Second Hand,13640.0060016,0,EXPERIENCED,OLD,13,0,MICRO,0
40703,2018,TP,Cash,79657.0,0.3,0.1,0.05,0.28,0.26,Renewal,Cash Salesmen,F,L,Business executive,N,N,2,N,4,2018,12,Individual,Renewal,Y,126000,Kia,2008,Riot & Srike,N,1067,Y,5,N,N,O,N,N,Y,New,1415.41567416,0,EXPERIENCED,NEW,10,0,COMPACT,0
40704,2019,TP,Cash,75674.15,0.35,0.1,0.05,0.28,0.26,Renewal,Cash Salesmen,F,L,Business executive,N,N,2,N,4,2018,12,Individual,Renewal,Y,126000,Kia,2008,Riot & Srike,N,1067,Y,5,N,N,O,N,N,Y,New,1432.88188072615,1,EXPERIENCED,OLD,11,0,COMPACT,1
40709,2019,Comp,Cash,108955.0,0.3,0.0,0.08,0.22,0.28,Renewal,Assumed Business,F,D,Social Worker,N,N,2,N,4,2019,12,Individual,Manual Review Required,Y,67000,Lexus,2003,Fire Expl Thft/Brand Expl Dief,N,1086,Y,2,Y,N,R,N,N,Y,Second Hand,10856.699568,0,EXPERIENCED,OLD,16,0,MICRO,0
40715,2019,Comp,Credit Card,66977.0,0.3,0.15,0.09,0.23,0.32,Renewal,Broker,M,D,Business executive,N,N,2,N,2,2019,12,Individual,Renewal,Y,62000,Scion,2013,Special Perils,N,1195,Y,5,Y,N,O,N,N,Y,New,7221.86669039,0,EXPERIENCED,NEW,6,0,COMPACT,0
40718,2019,Comp,Cash,64591.0,0.3,0.15,0.09,0.24,0.24,Renewal,Broker,F,D,Govt. Officer,N,Y,4,N,3,2019,12,Individual,Renewal,Y,23000,Volvo,2011,No Additional Perils,N,1655,Y,4,Y,N,O,N,Y,Y,New,7682.86729149143,0,EXPERIENCED,NEW,8,0,COMPACT,0
40721,2019,TP,Online payment,115938.0,0.3,0.15,0.11,0.26,0.34,Renewal,Broker,M,L,Business executive,N,N,2,N,2,2019,12,Individual,Manual Review Required,Y,201000,Infiniti,2000,No Additional Perils,N,1660,Y,4,Y,N,O,Y,N,N,New,2031.673396896,0,EXPERIENCED,OLD,19,0,COMPACT,0
40727,2019,F&T,Credit Card,98038.0,0.3,0.15,0.1,0.32,0.33,Renewal,Broker,M,S,Business executive,N,N,2,N,5,2019,12,Individual,Renewal,Y,96000,Infiniti,1999,No Additional Perils,N,1958,Y,6,Y,N,O,N,Y,N,New,4035.90233514286,0,EXPERIENCED,OLD,20,0,SUV,0
40730,2019,Comp,Online payment,74681.0,0.3,0.0,0.08,0.23,0.26,Renewal,Assumed Business,M,D,Driver for Uber,N,N,2,Y,3,2019,12,Individual,Manual Review Required,Y,201000,Chevrolet,2008,No Additional Perils,N,1235,Y,4,Y,N,O,N,N,N,New,7550.1594828,0,EXPERIENCED,OLD,11,0,COMPACT,0
40739,2017,Comp,Credit Card,137120.0,0.3,0.0,0.11,0.25,0.35,Renewal,Direct,M,S,Business executive,N,N,1,Y,3,2017,12,Corporate,Renewal,Y,107000,Lincoln,2010,Special Perils,N,1575,Y,2,Y,N,O,N,Y,N,Second Hand,12189.8455714286,0,EXPERIENCED,NEW,8,0,MICRO,0
40740,2019,Comp,Credit Card,130264.0,0.35,0.0,0.11,0.25,0.35,Renewal,Direct,M,S,Business executive,N,N,1,Y,3,2017,12,Corporate,Renewal,Y,107000,Lincoln,2010,Special Perils,N,1575,Y,2,Y,N,O,N,Y,N,Second Hand,12471.1497,1,EXPERIENCED,NEW,9,0,MICRO,1
40742,2019,F&T,Debit Card,80467.0,0.3,0.15,0.07,0.3,0.42,Renewal,Broker,M,M,Business executive,N,Y,1,N,6,2019,12,Individual,Renewal,Y,77000,Dodge,2001,Riot & Special Perils,N,1157,Y,4,N,N,O,N,N,Y,New,2871.4246615,0,EXPERIENCED,OLD,18,0,COMPACT,0
40745,2018,TP,Credit Card,122766.0,0.3,0.15,0.09,0.2,0.3,Renewal,Broker,M,L,Doctor,N,Y,5,N,4,2018,12,Individual,Renewal,Y,33000,Kia,2008,No Additional Perils,N,1807,Y,3,Y,Y,O,Y,N,Y,New,2435.0881632,0,EXPERIENCED,OLD,11,0,COMPACT,0
40748,2019,Comp,Debit Card,110140.0,0.3,0.15,0.12,0.3,0.33,Renewal,Broker,F,S,Driver for Uber,N,N,2,Y,2,2019,12,Individual,Renewal,Y,22000,Buick,1995,No Additional Perils,N,1404,Y,2,Y,N,O,Y,N,Y,New,10930.337656,0,EXPERIENCED,OLD,24,0,MICRO,0
40756,2018,Comp,Cash,37146.0,0.3,0.0,0.1,0.23,0.26,Renewal,Assumed Business,M,S,Waiter,N,N,1,N,2,2018,12,Corporate,Renewal,Y,35000,Buick,1998,Special Perils,N,1764,Y,5,Y,N,O,N,Y,Y,New,3824.960766,0,EXPERIENCED,OLD,20,0,COMPACT,0
40757,2019,Comp,Cash,35288.7,0.35,0.0,0.1,0.23,0.26,Renewal,Assumed Business,M,S,Waiter,N,N,1,N,2,2018,12,Corporate,Renewal,Y,35000,Buick,1998,Special Perils,N,1764,Y,5,Y,N,O,N,Y,Y,New,3913.22909136923,1,EXPERIENCED,OLD,21,0,COMPACT,1
40759,2018,TP,Cash,97077.0,0.3,0.1,0.1,0.24,0.37,Renewal,Cash Salesmen,M,M,Business executive,N,Y,1,N,6,2018,12,Individual,Renewal,Y,91000,Chevrolet,2001,No Additional Perils,Y,1483,Y,5,Y,N,O,N,N,Y,Foreign Used,1603.5761322,0,EXPERIENCED,OLD,17,0,COMPACT,0
40760,2019,TP,Cash,92223.15,0.35,0.1,0.1,0.24,0.37,Renewal,Cash Salesmen,M,M,Business executive,N,Y,1,N,6,2018,12,Individual,Renewal,Y,91000,Chevrolet,2001,No Additional Perils,Y,1483,Y,5,Y,N,O,N,N,Y,Foreign Used,1643.97838480615,1,EXPERIENCED,OLD,18,0,COMPACT,1
40762,2019,TP,Credit Card,60599.0,0.3,0.1,0.09,0.31,0.4,Renewal,Cash Salesmen,M,D,Business executive,N,N,3,Y,3,2019,12,Individual,Renewal,Y,85000,Ford,2004,No Additional Perils,N,1625,Y,2,Y,N,O,N,N,N,New,859.76528022,0,SENIORCITIZEN,OLD,16,0,MICRO,0
40765,2018,TP,Credit Card,93225.0,0.3,0.0,0.11,0.33,0.35,Renewal,Direct,M,D,Driver for Uber,N,N,1,Y,2,2018,12,Individual,Renewal,Y,177000,Ford,2002,Special Perils,N,1789,Y,3,Y,N,O,N,N,Y,New,1316.641379625,0,EXPERIENCED,OLD,16,0,COMPACT,0
40766,2019,TP,Credit Card,88563.75,0.35,0.0,0.11,0.33,0.35,Renewal,Direct,M,D,Driver for Uber,N,N,1,Y,2,2018,12,Individual,Renewal,Y,177000,Ford,2002,Special Perils,N,1789,Y,3,Y,N,O,N,N,Y,New,1317.2972175,1,EXPERIENCED,OLD,17,0,COMPACT,1
40768,2019,TP,Online payment,121942.0,0.3,0.0,0.08,0.27,0.41,Renewal,Assumed Business,F,L,Business executive,N,N,1,Y,5,2019,12,Individual,Renewal,Y,60000,Dodge,1995,No Additional Perils,N,1425,Y,3,Y,N,O,N,N,Y,New,1666.998111756,0,EXPERIENCED,OLD,24,0,COMPACT,0
40771,2018,TP,Cash,78082.0,0.3,0.15,0.06,0.29,0.41,Renewal,Broker,F,L,Govt. Officer,N,N,4,N,2,2018,12,Individual,Manual Review Required,Y,248000,Kia,2004,Special Perils,N,1965,Y,2,N,N,O,N,N,N,New,1135.967934554,0,EXPERIENCED,OLD,14,0,MICRO,0
40772,2019,TP,Cash,74177.9,0.35,0.15,0.06,0.29,0.41,Renewal,Broker,F,L,Govt. Officer,N,N,4,N,2,2018,12,Individual,Manual Review Required,Y,248000,Kia,2004,Special Perils,N,1965,Y,2,N,N,O,N,N,N,New,1165.48111064277,1,EXPERIENCED,OLD,15,0,MICRO,1
40774,2017,Comp,Credit Card,100613.0,0.3,0.0,0.11,0.25,0.39,Renewal,Assumed Business,F,L,Clerical assistant,N,N,2,N,5,2017,12,Individual,Renewal,Y,144000,MINI,2009,Riot & Special Perils,N,1462,Y,5,Y,N,O,N,Y,Y,New,8393.98089053571,0,YOUNG,NEW,9,0,COMPACT,0
40775,2019,Comp,Credit Card,95582.35,0.35,0.0,0.11,0.25,0.39,Renewal,Assumed Business,F,L,Clerical assistant,N,N,2,N,5,2017,12,Individual,Renewal,Y,144000,MINI,2009,Riot & Special Perils,N,1462,Y,5,Y,N,O,N,Y,Y,New,8587.68814185577,1,YOUNG,NEW,10,0,COMPACT,1
40777,2019,F&T,Cash,58523.0,0.3,0.15,0.1,0.24,0.36,Renewal,Broker,M,M,Sales Person,N,N,1,N,5,2019,12,Corporate,Renewal,Y,31000,Mazda,1997,Riot & Srike,N,1516,Y,2,Y,N,O,N,Y,N,New,2572.06912914286,0,EXPERIENCED,OLD,22,0,MICRO,0
40780,2018,Comp,Online payment,43400.0,0.3,0.0,0.14,0.28,0.24,Renewal,Direct,F,M,Education Professional,N,Y,4,N,3,2018,12,Individual,Renewal,Y,101000,Mercedes-Benz,1999,No Additional Perils,N,1856,Y,2,Y,N,O,N,N,Y,New,4447.75104,0,EXPERIENCED,OLD,20,0,MICRO,0
40783,2018,F&T,Cash,83640.0,0.3,0.15,0.09,0.25,0.35,Renewal,Broker,F,M,Lawyer,N,N,2,N,3,2018,12,Individual,Renewal,Y,55000,Ford,2007,No Additional Perils,N,1556,Y,3,Y,N,O,Y,N,Y,New,3650.77398214286,0,EXPERIENCED,OLD,11,0,COMPACT,0
40784,2019,F&T,Cash,79458.0,0.35,0.15,0.09,0.25,0.35,Renewal,Broker,F,M,Lawyer,N,N,2,N,3,2018,12,Individual,Renewal,Y,55000,Ford,2007,No Additional Perils,N,1556,Y,3,Y,N,O,Y,N,Y,New,3735.0226125,1,EXPERIENCED,OLD,12,0,COMPACT,1
40789,2018,Comp,Cash,71689.0,0.3,0.1,0.08,0.21,0.3,Renewal,Cash Salesmen,F,S,Govt. Officer,Y,N,2,Y,3,2018,12,Corporate,Renewal,Y,89000,BMW,2011,Fire Expl Thft/Brand Expl Dief,N,1033,Y,5,Y,N,O,N,N,N,New,7737.3794322,0,EXPERIENCED,NEW,7,0,COMPACT,0
40790,2019,Comp,Cash,68104.55,0.35,0.1,0.08,0.21,0.3,Renewal,Cash Salesmen,F,S,Govt. Officer,Y,N,2,Y,3,2018,12,Corporate,Renewal,Y,89000,BMW,2011,Fire Expl Thft/Brand Expl Dief,N,1033,Y,5,Y,N,O,N,N,N,New,7915.93434217385,1,EXPERIENCED,NEW,8,0,COMPACT,1
40795,2018,F&T,Cash,123681.0,0.3,0.15,0.12,0.3,0.33,Renewal,Broker,M,S,Driver for Uber,N,N,1,Y,6,2018,12,Individual,Manual Review Required,Y,68000,Ford,1998,Special Perils,N,1410,Y,2,N,N,O,N,N,N,New,5336.587788,0,EXPERIENCED,OLD,20,0,MICRO,0
40796,2019,F&T,Cash,117496.95,0.35,0.15,0.12,0.3,0.33,Renewal,Broker,M,S,Driver for Uber,N,N,1,Y,6,2018,12,Individual,Manual Review Required,Y,68000,Ford,1998,Special Perils,N,1410,Y,2,N,N,O,N,N,N,New,5459.73981387692,1,EXPERIENCED,OLD,21,0,MICRO,1
40798,2019,F&T,Credit Card,141944.0,0.3,0.0,0.06,0.28,0.22,Renewal,Direct,F,S,Sales Person,N,N,2,N,3,2019,12,Individual,Renewal,Y,55000,Land Rover,2011,No Additional Perils,N,1230,Y,4,N,N,O,N,N,Y,Second Hand,6035.62110171429,0,EXPERIENCED,NEW,8,0,COMPACT,0
40801,2017,TP,Credit Card,140746.0,0.3,0.0,0.12,0.19,0.2,Renewal,Direct,F,S,Business executive,N,Y,4,Y,4,2017,12,Individual,No renewal - Report,Y,175000,Chevrolet,2010,Riot & Special Perils,N,1388,Y,5,Y,N,O,N,N,N,Second Hand,2978.70330528,0,EXPERIENCED,NEW,8,0,COMPACT,0
40802,2019,TP,Credit Card,133708.7,0.35,0.0,0.12,0.19,0.2,Renewal,Direct,F,S,Business executive,N,Y,4,Y,4,2017,12,Individual,No renewal - Report,Y,175000,Chevrolet,2010,Riot & Special Perils,N,1388,Y,5,Y,N,O,N,N,N,Second Hand,2985.85926498462,1,EXPERIENCED,NEW,9,0,COMPACT,1
40804,2019,Comp,Online payment,117893.0,0.3,0.0,0.13,0.19,0.35,Renewal,Assumed Business,M,S,Govt. Officer,N,Y,2,N,2,2019,12,Individual,No Renewal - Don't Report,Y,123000,Pontiac,2002,No Additional Perils,N,1451,Y,3,Y,Y,O,N,N,N,New,11522.9755025357,0,EXPERIENCED,OLD,17,0,COMPACT,0
40807,2019,Comp,Debit Card,58377.0,0.3,0.1,0.07,0.21,0.29,Renewal,Cash Salesmen,F,D,Software Professional,N,Y,2,Y,4,2019,12,Individual,Manual Review Required,Y,173000,Maserati,1997,Riot & Special Perils,N,1857,Y,5,Y,N,O,Y,N,N,Second Hand,6331.45429221643,0,EXPERIENCED,OLD,22,0,COMPACT,0
40813,2018,Comp,Online payment,72239.0,0.3,0.0,0.08,0.16,0.35,Renewal,Assumed Business,M,L,Business executive,N,N,5,Y,3,2018,12,Individual,Renewal,Y,143000,GMC,2011,Special Perils,Y,1761,Y,2,Y,N,O,N,N,N,Foreign Used,6998.225364,0,YOUNG,NEW,7,0,MICRO,0
40814,2019,Comp,Online payment,68627.05,0.35,0.0,0.08,0.16,0.35,Renewal,Assumed Business,M,L,Business executive,N,N,5,Y,3,2018,12,Individual,Renewal,Y,143000,GMC,2011,Special Perils,Y,1761,Y,2,Y,N,O,N,N,N,Foreign Used,7159.7228724,1,YOUNG,NEW,8,0,MICRO,1
40816,2019,F&T,Credit Card,58848.0,0.3,0.1,0.14,0.13,0.16,Renewal,Cash Salesmen,M,D,Driver for Uber,N,N,2,N,6,2019,12,Individual,Renewal,Y,177000,Chevrolet,1997,No Additional Perils,N,1934,Y,3,N,N,O,N,N,Y,Second Hand,3852.1194624,0,EXPERIENCED,OLD,22,0,COMPACT,0
40819,2018,Comp,Online payment,147998.0,0.3,0.0,0.07,0.23,0.4,Renewal,Direct,F,S,Clerical assistant,N,N,3,N,2,2018,12,Individual,Renewal,Y,165000,Chevrolet,1997,No Additional Perils,Y,1858,N,4,Y,N,O,N,N,N,Foreign Used,12019.361574,0,EXPERIENCED,OLD,22,0,COMPACT,0
40822,2019,Comp,Credit Card,167774.0,0.3,0.0,0.11,0.13,0.32,Renewal,Direct,F,S,Secretary,N,N,2,N,4,2019,12,Individual,Manual Review Required,Y,201000,Chevrolet,2004,No Additional Perils,N,1454,Y,5,N,N,O,N,N,Y,New,18099.8761582286,0,EXPERIENCED,OLD,16,0,COMPACT,0
40825,2018,F&T,Debit Card,95541.0,0.3,0.15,0.09,0.33,0.29,Renewal,Broker,F,D,Education Professional,N,Y,2,N,3,2018,12,Individual,Renewal,Y,108000,Dodge,2003,Riot & Srike,N,1983,Y,6,Y,N,R,N,N,N,New,4069.29557949643,0,EXPERIENCED,OLD,15,0,SUV,0
40826,2019,F&T,Debit Card,90763.95,0.35,0.15,0.09,0.33,0.29,Renewal,Broker,F,D,Education Professional,N,Y,2,N,3,2018,12,Individual,Renewal,Y,108000,Dodge,2003,Riot & Srike,N,1983,Y,6,Y,N,R,N,N,N,New,4163.20240056173,0,EXPERIENCED,OLD,16,0,SUV,1
40830,2019,TP,Credit Card,144835.0,0.3,0.15,0.09,0.24,0.26,Renewal,Broker,M,M,Social Worker,N,N,4,Y,2,2019,12,Individual,Renewal,Y,99000,Lexus,2012,Special Perils,N,1590,Y,2,N,Y,O,N,N,N,New,2885.14332568,0,EXPERIENCED,NEW,7,0,MICRO,0
40833,2019,F&T,Cash,125218.0,0.3,0.15,0.12,0.26,0.32,Renewal,Broker,F,S,Govt. Officer,N,N,4,Y,5,2019,12,Individual,Renewal,Y,205000,Toyota,2003,Fire Expl Thft/Brand Expl Dief,N,1332,Y,3,N,N,O,N,N,Y,New,5796.8921792,0,EXPERIENCED,OLD,17,0,COMPACT,0
40836,2018,Comp,Cash,37807.0,0.3,0.15,0.04,0.25,0.24,Renewal,Broker,F,M,Business executive,N,N,2,Y,2,2018,12,Individual,Manual Review Required,Y,190000,Cadillac,1996,Special Perils,N,1493,Y,6,N,N,O,N,N,Y,New,4234.265178,0,EXPERIENCED,OLD,23,0,SUV,0
40839,2019,Comp,Online payment,64238.0,0.3,0.15,0.12,0.31,0.33,Renewal,Broker,M,S,Driver for Uber,N,Y,2,N,2,2019,12,Corporate,Renewal,Y,143000,Lamborghini,1999,Special Perils,N,1648,Y,3,N,N,O,N,N,Y,New,6283.93331784,0,YOUNG,OLD,20,0,COMPACT,0
40842,2018,TP,Credit Card,142714.0,0.3,0.15,0.08,0.27,0.23,Renewal,Broker,M,S,Business executive,N,N,3,N,5,2018,12,Individual,Renewal,Y,158000,Ford,2011,No Additional Perils,N,1848,Y,5,Y,Y,O,N,Y,Y,New,2822.925591486,0,EXPERIENCED,NEW,7,0,COMPACT,0
40843,2019,TP,Credit Card,135578.3,0.35,0.15,0.08,0.27,0.23,Renewal,Broker,M,S,Business executive,N,N,3,N,5,2018,12,Individual,Renewal,Y,158000,Ford,2011,No Additional Perils,N,1848,Y,5,Y,Y,O,N,Y,Y,New,2912.339524248,0,EXPERIENCED,NEW,8,0,COMPACT,1
40848,2019,TP,Credit Card,99877.0,0.3,0.0,0.11,0.27,0.29,Renewal,Direct,F,L,Driver for Uber,N,Y,4,N,2,2019,12,Individual,Renewal,Y,239000,Nissan,2009,Special Perils,N,1227,Y,6,Y,N,O,Y,N,Y,New,1678.779458313,0,EXPERIENCED,NEW,10,0,SUV,0
40851,2017,Comp,Online payment,131317.0,0.3,0.15,0.09,0.31,0.27,Renewal,Broker,F,L,Driver for Uber,N,N,1,N,4,2017,12,Individual,No renewal - Report,Y,209000,Mercedes-Benz,2011,No Additional Perils,N,1914,Y,4,Y,N,O,N,N,N,New,13621.2524492389,0,EXPERIENCED,NEW,7,0,COMPACT,0
40852,2019,Comp,Online payment,124751.15,0.35,0.15,0.09,0.31,0.27,Renewal,Broker,F,L,Driver for Uber,N,N,1,N,4,2017,12,Individual,No renewal - Report,Y,209000,Mercedes-Benz,2011,No Additional Perils,N,1914,Y,4,Y,N,O,N,N,N,New,13935.5890442214,0,EXPERIENCED,NEW,8,0,COMPACT,1
40857,2018,TP,Debit Card,81615.0,0.3,0.1,0.1,0.18,0.3,Renewal,Cash Salesmen,F,S,Lawyer,N,N,2,N,5,2018,12,Individual,Renewal,Y,122000,Mercedes-Benz,2003,Riot & Srike,N,1149,Y,3,Y,N,O,Y,Y,Y,New,1616.221845,0,EXPERIENCED,OLD,15,0,COMPACT,0
